Name,Version,License
[aiohttp](http://aiohttp.readthedocs.io),2.2,Apache-2.0
[Cython](http://cython.org),,Apache-2.0
[geostats](https://github.com/simogeo/geostats),,MIT
[JsChardet](https://github.com/aadsm/jschardet),,LPGL-2.1
[NumPy](http://www.numpy.org/),,BSD-3-Clause
[scipy](),,BSD-3-Clause
aioredis,,MIT
Bluebird,,MIT
bootstrap,,MIT
cchardet,,MIT
ColorBrewer,,Apache-2.0
d3.js,4.x,BSD-3-Clause
Fiona,,BSD-3-Clause
GDAL,2.1,X11/MIT
geopandas,,BSD-3-Clause
Gunicorn,,MIT
i18next,,MIT
matplotlib,2.0,BSD-like
nginx,,BSD-2-Clause
Node.js,,X11
npm,,Artistic License 2.0
pandas,,BSD-3-Clause
Proj.4,,MIT
Proj4.js,,MIT
pyexcel,,BSD-3-Clause
Python,3.6,PSFL
Shapely,,BSD-3-Clause
SweetAlert2,,MIT
topojson,,BSD-3-Clause
ujson,,BSD-like
uvloop,,MIT/Apache-2.0
xlrd,,BSD-like
