CODGEO,DEP,LIBGEO,P13_POP,P13_POP0014,P13_POP1529,P13_POP3044,P13_POP4559,P13_POP6074,P13_POP7589,P13_POP90P,P13_POPH,P13_POPF,P13_LOG,P13_RP,P13_RSECOCC,P13_LOGVAC,P13_MEN,P13_RP_LOCHLMV,P13_NPER_RP_LOCHLMV
97201,972,L'Ajoupa-Bouillon,1830,350,275,278,449,301,155,22,892,938,926,755,7,164,755,94,287
97202,972,Les Anses-d'Arlet,3929,727,596,728,959,600,284,36,1969,1960,2323,1508,528,287,1508,72,222
97203,972,Basse-Pointe,3565,613,515,550,843,622,375,46,1683,1882,1747,1509,14,224,1509,167,466
97204,972,Le Carbet,3742,592,500,669,924,703,306,47,1778,1964,2015,1561,231,223,1561,101,215
97205,972,Case-Pilote,4464,884,758,853,1083,667,197,22,2052,2412,2030,1777,33,221,1777,421,1121
97206,972,Le Diamant,6063,1280,921,1290,1456,791,275,50,2925,3138,3454,2490,630,333,2490,243,629
97207,972,Ducos,17051,3023,3242,3386,3906,2434,996,65,8247,8804,8092,6876,97,1119,6876,1034,2401
97208,972,Fonds-Saint-Denis,813,124,108,119,224,134,93,11,400,413,445,360,20,65,360,19,55
97209,972,Fort-de-France,84174,15442,14457,15086,18985,12239,6917,1048,37165,47009,46122,38144,684,7294,38144,8615,19712
97210,972,Le François,18225,3270,2963,3221,4463,2685,1460,162,8670,9555,9240,7496,371,1374,7496,710,1849
97211,972,Grand'Rivière,583,77,85,66,142,102,97,14,278,305,374,265,15,94,265,25,67
97212,972,Gros-Morne,10012,1722,1574,1595,2470,1673,854,125,4817,5195,5270,4286,108,876,4286,343,893
97213,972,Le Lamentin,40040,7994,7032,8221,8958,5296,2240,300,18126,21914,19308,16934,143,2231,16934,3312,7694
97214,972,Le Lorrain,7177,1208,1062,1049,1769,1235,765,89,3458,3719,3773,2977,52,744,2977,223,638
97215,972,Macouba,1090,192,189,163,266,162,101,17,557,533,586,405,41,139,405,13,50
97216,972,Le Marigot,3481,545,517,457,923,639,354,46,1640,1841,1794,1520,34,240,1520,197,462
97217,972,Le Marin,8543,1841,1337,1641,1925,1164,562,73,4070,4473,4389,3455,168,766,3455,685,1799
97218,972,Le Morne-Rouge,5021,900,800,762,1161,899,424,76,2426,2595,2555,2053,41,461,2053,179,466
97219,972,Le Prêcheur,1632,325,297,277,323,235,148,27,813,819,990,668,112,210,668,113,365
97220,972,Rivière-Pilote,12359,2134,1957,1997,3213,2015,892,150,5792,6567,6792,5292,383,1117,5292,453,1275
97221,972,Rivière-Salée,12737,2715,2103,2394,3044,1799,605,78,5850,6887,6242,5307,112,823,5307,1164,3092
97222,972,Le Robert,23296,4787,4060,4453,5467,3044,1324,161,11068,12228,11532,9349,517,1666,9349,1110,2871
97223,972,Saint-Esprit,9524,1773,1465,1591,2415,1473,715,91,4603,4921,4648,3972,53,623,3972,409,979
97224,972,Saint-Joseph,16885,3269,2759,2899,4045,2672,1091,150,7818,9067,8013,6907,75,1031,6907,495,1236
97225,972,Saint-Pierre,4285,807,683,604,1056,637,437,61,2025,2260,2488,1878,49,561,1878,486,1282
97226,972,Sainte-Anne,4436,779,590,768,1107,842,310,39,2165,2271,4016,1920,1617,479,1920,242,620
97227,972,Sainte-Luce,9991,1933,1436,1886,2585,1518,565,69,4629,5362,6104,4454,869,781,4454,679,1484
97228,972,Sainte-Marie,17188,2948,2773,2705,4248,2712,1596,205,8006,9182,8443,7043,78,1323,7043,396,1032
97229,972,Schoelcher,19922,3289,3863,3781,4356,3052,1366,215,8767,11155,11058,9066,362,1630,9066,1180,2500
97230,972,La Trinité,13253,2677,2016,2416,3087,1942,973,142,6042,7211,6818,5562,394,862,5562,1072,2590
97231,972,Les Trois-Îlets,7698,1515,1228,1666,1852,1041,354,43,3575,4123,5041,3469,1181,392,3469,424,1064
97232,972,Le Vauclin,9097,1711,1401,1520,2125,1515,741,84,4231,4866,5675,3931,446,1298,3931,449,1318
97233,972,Le Morne-Vert,1877,305,232,339,435,401,140,25,892,985,1010,802,63,144,802,61,170
97234,972,Bellefontaine,1568,294,268,283,383,207,119,14,761,807,927,617,29,281,617,127,375
