,GrowthRate,PopDensity,PopTotal,UNRegion,x,y
0,2.86,30.13,845060.0,Africa,10.423670333703203,1.6100739678571272
1,0.27,330.53,9916.0,Oceania,179.00219173110915,-7.994389316576917
2,1.68,1212.19,363657.0,Asia,73.52459473299858,3.3647424627196716
3,-1.87,149.94,70473.0,Europe,1.5049190960995389,42.510314976149125
4,1.0,208.68,91818.0,America,-61.778066631413964,17.054014758460408
5,0.29,103.69,8544586.0,Europe,14.186603326421093,47.60529833854869
6,0.64,373.16,11299192.0,Europe,4.578797924447184,50.64055072777298
7,1.41,1812.15,1377237.0,Asia,50.636867040333776,26.310530756623624
8,1.2,38.76,388019.0,America,-77.88425656634475,24.605568177074026
9,0.28,660.97,284215.0,America,-59.52258837916923,13.164392680256181
10,0.97,210.01,8298663.0,Europe,8.204359605020334,46.80806294990732
11,2.34,423.68,788474.0,Africa,43.53577152473657,-11.753938988301728
12,1.24,129.16,520501.0,Africa,-23.588158555154425,15.365380087960316
13,-0.01,231.49,80688545.0,Europe,10.411981244677014,51.10425332619802
14,0.46,96.91,72680.0,America,-61.36272030336012,15.39992380282947
15,0.38,133.61,5669081.0,Europe,9.426608219921413,56.28592723933932
16,-0.12,92.47,46121699.0,Europe,-3.5567511520781707,40.36173906026087
17,0.08,34.53,48199.0,Europe,-6.83305825731391,62.05625312538059
18,0.48,149.23,104460.0,Oceania,158.28234280850498,6.941461761893708
19,,,,Europe,-2.5918640759208063,49.46378509139152
20,0.47,314.19,106825.0,America,-61.52406575229205,12.243339884670705
21,0.73,154.0,87780.0,Europe,-4.472159964826547,54.193665862883776
22,0.01,203.3,59797685.0,Europe,12.209122429040631,43.52743643136654
23,,,,Europe,-2.072130923761777,49.20049053989658
24,1.75,138.79,112423.0,Oceania,-158.5848143228337,2.046375490366483
25,1.09,213.74,55572.0,America,-62.6800461618554,17.258138980139687
26,0.75,303.28,184999.0,America,-60.92891936731159,13.91622198422543
27,0.65,234.57,37531.0,Europe,9.550375607466666,47.1348071472
28,1.6,218.96,567110.0,Europe,6.139197281570438,49.72367649820139
29,0.35,25322.82,37731.0,Europe,7.307413791792236,43.7432712536092
30,0.14,294.41,52993.0,Oceania,171.2166397117691,7.12016176558212
31,0.23,1308.34,418670.0,Europe,14.383249612168067,35.937794438995624
32,0.33,627.2,1273212.0,Africa,57.5563181399795,-20.29076200595393
33,0.4,511.1,10222.0,Oceania,166.94357644051672,-0.5141863644943927
34,0.98,46.29,21291.0,Oceania,134.63027665481698,7.4336631655899215
35,1.64,8005.34,5603740.0,Asia,103.87877712684626,1.3261267794316955
36,0.53,529.68,31781.0,Europe,12.458846669101087,43.933904617052264
37,2.1,198.28,190344.0,Africa,6.67390700735988,0.3063628096599565
38,0.57,209.72,96471.0,Africa,55.53075174829857,-4.761369521190868
39,0.7,147.46,106170.0,Oceania,-175.13574433899635,-21.148357386695412
40,0.12,1818.18,800.0,Europe,12.457968997415541,41.90532857363342
41,0.17,280.67,109462.0,America,-61.10917959293862,13.197346115365944
42,0.67,68.28,193228.0,Oceania,-172.12938766728027,-13.751711301467951
43,0.42,117.61,64395345.0,Europe,2.472098386805964,46.615814809791054
