UID,i,j,fij
1,DE14,AT11,1
2,DE21,AT11,1
3,DE23,AT11,1
4,DE26,AT11,2
5,DE91,AT11,1
6,DEB3,AT11,1
7,FR42,AT11,1
8,HU22,AT11,3
9,HU31,AT11,1
10,ITE4,AT11,1
11,CZ03,AT12,3
12,CZ06,AT12,9
13,CZ07,AT12,2
14,DE11,AT12,6
15,DE13,AT12,1
16,DE21,AT12,4
17,DE22,AT12,1
18,DE23,AT12,5
19,DE25,AT12,1
20,DE26,AT12,2
21,DE42,AT12,1
22,DE71,AT12,2
23,DE72,AT12,3
24,DE92,AT12,1
25,DE94,AT12,1
26,DEA1,AT12,1
27,DEA5,AT12,1
28,DEB1,AT12,1
29,DED2,AT12,1
30,DEG0,AT12,1
31,DK03,AT12,1
32,FR10,AT12,2
33,FR26,AT12,1
34,FR41,AT12,1
35,FR53,AT12,1
36,FR82,AT12,1
37,HU22,AT12,4
38,HU32,AT12,1
39,ITC4,AT12,1
40,ITD2,AT12,1
41,ITD5,AT12,1
42,ITE4,AT12,1
43,LU00,AT12,1
44,PL12,AT12,1
45,PL22,AT12,1
46,PL31,AT12,1
47,PL32,AT12,2
48,PL41,AT12,1
49,PL62,AT12,1
50,SK02,AT12,3
51,CZ06,AT13,1
52,HU10,AT13,1
53,PL12,AT13,1
54,SI02,AT13,1
55,SK01,AT13,1
56,DE11,AT21,2
57,DE14,AT21,1
58,DE21,AT21,3
59,DE24,AT21,2
60,DE25,AT21,1
61,DE71,AT21,2
62,DE80,AT21,1
63,DE94,AT21,2
64,DEA2,AT21,1
65,DEA3,AT21,1
66,DEA4,AT21,1
67,DEA5,AT21,1
68,DEE0,AT21,1
69,DEF0,AT21,2
70,DK01,AT21,1
71,ES51,AT21,1
72,FR10,AT21,1
73,GR12,AT21,1
74,HU21,AT21,1
75,HU22,AT21,1
76,HU23,AT21,1
77,ITD3,AT21,1
78,ITD4,AT21,10
79,ITE1,AT21,2
80,NL42,AT21,1
81,PL32,AT21,1
82,SE11,AT21,1
83,SI02,AT21,3
85,BE34,AT22,1
86,CH06,AT22,1
87,CZ03,AT22,1
88,CZ06,AT22,1
89,DE11,AT22,1
90,DE12,AT22,1
91,DE13,AT22,1
92,DE21,AT22,1
93,DE23,AT22,1
94,DE25,AT22,1
95,DE27,AT22,1
96,DE71,AT22,2
97,DE72,AT22,2
98,EE00,AT22,1
99,FI18,AT22,1
100,FR25,AT22,1
101,FR30,AT22,1
102,HU21,AT22,3
103,HU22,AT22,3
104,HU23,AT22,1
105,HU33,AT22,1
106,IE01,AT22,1
107,IE02,AT22,1
108,ITC4,AT22,1
109,ITD3,AT22,1
110,ITD4,AT22,2
111,ITE1,AT22,1
112,ITE3,AT22,1
113,ITE4,AT22,1
114,LT00,AT22,1
115,LU00,AT22,1
116,LV00,AT22,1
117,MT00,AT22,1
118,NL11,AT22,1
119,NL42,AT22,1
120,NO06,AT22,1
121,PL22,AT22,1
122,PL42,AT22,1
123,RO11,AT22,1
124,RO42,AT22,1
125,SE12,AT22,1
126,SI01,AT22,2
127,SI02,AT22,1
128,SK03,AT22,1
129,UKG3,AT22,1
130,UKK2,AT22,1
132,BG33,AT31,1
133,CZ03,AT31,4
134,DE21,AT31,1
135,DE22,AT31,5
136,DE24,AT31,2
137,DE25,AT31,3
138,DE71,AT31,1
139,DE80,AT31,1
140,DE91,AT31,1
141,DEA2,AT31,1
142,DEB1,AT31,1
143,DED1,AT31,1
144,DEE0,AT31,1
145,DEF0,AT31,2
146,FR61,AT31,1
147,HU21,AT31,1
148,HU33,AT31,1
149,ITC4,AT31,1
150,ITD3,AT31,1
151,ITD4,AT31,2
152,ITD5,AT31,2
153,ITE1,AT31,1
154,ITE3,AT31,1
155,ITE4,AT31,1
156,ITF1,AT31,1
157,LU00,AT31,1
158,PL22,AT31,1
159,PT15,AT31,1
160,SE12,AT31,2
161,SI01,AT31,2
162,CH01,AT32,1
163,DE21,AT32,1
164,DEB3,AT32,1
165,DED2,AT32,1
166,FR21,AT32,1
167,ITD1,AT32,1
168,ITD3,AT32,1
169,ITD5,AT32,1
170,LT00,AT32,1
171,CH04,AT33,1
172,CH05,AT33,2
173,DE13,AT33,2
174,DE21,AT33,1
175,DE27,AT33,2
176,DE71,AT33,2
177,DE72,AT33,1
178,DE73,AT33,1
179,DEA4,AT33,1
180,DEA5,AT33,1
181,DK05,AT33,1
182,ES41,AT33,1
183,FI1A,AT33,1
184,FR10,AT33,1
185,FR25,AT33,1
186,FR41,AT33,1
187,FR71,AT33,2
188,ITC1,AT33,1
189,ITD1,AT33,4
190,ITD2,AT33,2
191,ITD3,AT33,2
192,ITE4,AT33,1
193,LU00,AT33,1
194,PL21,AT33,1
195,RO11,AT33,1
196,UKJ2,AT33,1
197,DE13,AT34,1
198,DE14,AT34,1
199,DEG0,AT34,1
200,FR42,AT34,1
201,HU33,AT34,1
202,UKN0,AT34,1
203,DE30,BE10,1
204,ES30,BE10,1
205,ES61,BE10,1
206,FR10,BE10,6
207,FR22,BE10,1
208,FR61,BE10,1
209,FR82,BE10,2
210,ITD3,BE10,1
211,ITE1,BE10,1
212,LT00,BE10,1
213,NL32,BE10,1
214,NL41,BE10,1
215,RO42,BE10,1
216,UKI1,BE10,1
217,DE26,BE21,2
218,DE71,BE21,2
219,DE80,BE21,1
220,DEA1,BE21,1
221,DEA2,BE21,1
222,DEB1,BE21,2
223,DEB3,BE21,1
224,ES12,BE21,1
225,ES51,BE21,1
226,FR26,BE21,1
227,FR42,BE21,1
228,FR82,BE21,1
229,NL33,BE21,2
230,PL21,BE21,1
231,PL32,BE21,1
232,PL41,BE21,1
233,PL42,BE21,1
234,SK03,BE21,1
235,DEA1,BE22,1
236,DEA4,BE22,1
237,PL22,BE22,1
